Timestamp,Extracting Liquid,Brand Name,What kind of beans did you use?,Age of the Extract at Testing,Ratio of Beans to Booze,Was the alcohol or extract heated at all? Please specify details if so.,Were the beans split?,Did you finish the extract with Oak Blocks?,How would you rate the overall flavor of the extract?,How would you rate the booziness of the extract? (Smelling),How Vanilla-y does it smell?,Please rate the color of the finished extract,Would you use this combination again?,Other comments or notes:
7/24/2021 16:55,White/Light/Silver Rum,Bacardi,50-50 split of Madagascar and Indonesian,9-12 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),no,Part of the beans were split,No,4,4,4,5,Yes,"White rum is close to vodka but not quite as tasteless. At 12 months, this batch wasn't quite finished. I'd say in another 3 months it should be really smooth and good to go. "
7/24/2021 18:11,Vodka,Titos,Ugandan,12-15 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),N/a,Part of the beans were split,No,4,2,3,5,Maybe,
7/24/2021 20:25,Vodka,Absolut,Indonesian,12-15 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),Only slightly,None of the beans were split,No,5,4,4,5,Yes,Albus
7/25/2021 5:22,Bourbon,Woodford Reserve bourbon,Madagascar Bourbon Cure,12-15 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,5,3,4,5,Yes,
7/25/2021 5:27,Vodka,Tito's ,Papua New Guinea V. planifolia,9-12 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,3,3,3,4,Yes,"As mine is currently only approximately 10 month along in extraction, the flavor profile is definitely vanilla forward though a 'bite' of alcohol remains, and the color is deep brown.  It will continue extracting for another 3-6 months at which point I feel confident it will be complete/ideal."
7/25/2021 10:35,Vodka,Titos,Madagascar Mexican Cure,9-12 months,Unknown,No,None of the beans were split,No,4,5,5,4,Yes,
9/28/2021 5:04,Vodka,Kirkland ,Indonesian,12-15 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),72 hrs of crock pot sous vide at 11 months,None of the beans were split,"Yes, I used Medium Toast",2,3,3,4,No,Indonesian in vodka was my least favorite. 
9/28/2021 5:06,Vodka,Kirkland ,Madagascar Bourbon Cure,12-15 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),72 hr sous vide at 10 months,Part of the beans were split,"Yes, I used Medium Toast",4,4,4,4,Yes,
9/28/2021 5:08,White/Light/Silver Rum,Bacardi ,Madagascar Bourbon Cure,12-15 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),72 hr sous vide at 10 months,"Yes, all the beans were split","Yes, I used Medium Toast",4,4,4,4,No,"All beans were cut, not split."
9/28/2021 5:12,Vodka,Kirkland ,Madagascar Mexican Cure,9-12 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,5,4,5,5,No,"This extract was more “ready” at 10 months than other extracts with different beans at 13 months, also single fold in vodka. Madagascar Mexican cured are my favorite beans so far!"
10/23/2021 5:08,Vodka,Mixed,Mixed beans,9-12 months,Unknown,No,None of the beans were split,No,5,5,5,5,Yes,"Mother jar, mixed beans and mixed vodka"
1/4/2022 12:55,Vodka,Doc Porter's,Madagascar Bourbon Cure,12-15 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,"Yes, all the beans were split",No,4,4,5,4,Maybe,"Didn't taste like store bought vanilla.  Had a complex almost ""French vanilla"" flavor to it."
1/4/2022 12:58,Vodka,Tito's,Indonesian,9-12 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,"Yes, all the beans were split",No,2,4,5,4,No,Tested after 12 months.  It looks like vanilla and smells like vanilla but has almost no vanilla flavor.  I'm letting it sit another 6 months or so.   I will not use Tito's again.
2/4/2022 14:57,Spiced Rum,Krakken,Madagascar Bourbon Cure,12-15 months,Higher than Triple Fold (More than 3 oz beans per cup of alcohol),No,None of the beans were split,No,4,4,4,5,Yes,I crammed a bottle full of beans and poured the spiced rum over.  It is really fun!
3/2/2022 14:43,Diluted Everclear (List the ratio and proof you used in the comments),Everclear,Madagascar Bourbon Cure,12-15 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,5,5,5,5,Yes,I used a 1:1 ratio
3/2/2022 18:37,Bourbon,Woodford Reserve,Madagascar Bourbon Cure,15-18 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),no but kept in cabinet that stays at 70F,None of the beans were split,No,2,3,3,4,No,It was the first one.. 2oz - 2 cups. It was the alcohol we had on hand and still waiting. Split them after a year.. 16 months into this. Expect it to take a few more months.
3/3/2022 6:43,Vodka,Schmirnoff,Indonesian,12-15 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,5,5,5,4,Yes,From this point forward I will probably try for double fold or more just because I love it
5/4/2022 11:33,coconut rum,Captain morgan,Madagascar Bourbon Cure,12-15 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),Sous vide 125 degrees for 72 hours,"Yes, all the beans were split",No,1,4,4,4,No,The coconut flavor does not go away as I was led to believe. 
5/13/2022 17:04,,,Madagascar Bourbon Cure,,,,,,,,,,,
6/10/2022 10:28,Dark Rum,Kraken Spiced Rum,Hawaiian ,1-3 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),30 min. In the instant pot. ,"Yes, all the beans were split",No,4,3,4,5,Yes,Good process when you don't have months to wait.
6/24/2022 6:03,Coconut Rum ,Captain Morgan's ,Sri Lankan,6-9 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),Bo,"Yes, all the beans were split",No,5,3,5,5,Yes,This combination is our favorite so far.  I have several other bean varieties also extracting in various alcohols and Grain alcohol.
9/14/2022 8:33,"Cinnamon Moonshine, 90 proof","Midnight Moon Moonshine, cinnamon ",Madagascar Mexican Cure,9-12 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,Part of the beans were split,No,5,5,5,5,Yes,"This smells like a candy shop!  Super sweet, rich, hint of cinnamon and oh-so-much-vanilla.  Also could be called Christmas morning."
9/24/2022 20:46,Vodka,360 Double Chocolate Vodka ,Ugandan,6-9 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,Part of the beans were split,No,5,4,4,5,Yes,Still has a little time left but this is one of my favorites already.
12/20/2022 23:21,Diluted Everclear (List the ratio and proof you used in the comments),John,Sri Lankan,18 months or older,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,4,4,4,4,Yes,"50/50 Ratio Everclear and distilled water.  This was made with 'Potter' the Sri Lankan bean, small batched at the same time other varieties of alcohols that will be added separately."
12/20/2022 23:25,White/Light/Silver Rum,Captain Morgan White Rum,Sri Lankan,18 months or older,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,4,4,4,4,Yes,"This was made with 'Potter' Sri Lankan bean, small batched with other varieties of alcohols."
12/20/2022 23:26,Spiced Rum,Sailor Jerry,Sri Lankan,18 months or older,Double Fold (About 2 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,4,4,4,4,Yes,
1/18/2023 7:52,Vodka,Tito’s,Ugandan,15-18 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),Sous vide and split after sugar test in Jan 2023,None of the beans were split,No,1,1,1,5,No,Split the beans in Jan 2023 after sugar test and will check again in Dec 2023. These beans went whole in Titos vodka 7/2021
1/18/2023 7:54,Vodka,Tito’s,Papua New Guinea V. planifolia,18 months or older,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,None of the beans were split,No,5,5,5,5,Yes,This was decadent smelling. I decanted half the volume as gift. Split the beans and added more vodka. Updated the DOB and reset. 
3/3/2023 7:07,Vodka,Mutiny,Papua New Guinea V. planifolia,12-15 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),"I live in the Caribbean, so it has been on the warm side all its life","Yes, all the beans were split",No,4,4,5,4,Yes,
5/1/2023 10:20,Vodka,Smirnoff,Madagascar Mexican Cure,18 months or older,Single Fold (About 1 oz beans to about 1 cup of alcohol),no,None of the beans were split,No,5,5,5,5,Yes,"at the 6 month mark it was boozy, at 12 months it was good.  I left this batch for 24 months and it is wonderful now!! "
7/30/2023 13:13,White/Light/Silver Rum,Bacardi,Madagascar Grade A,12-15 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No,"Yes, all the beans were split",No,5,4,5,4,Yes,
8/28/2023 10:21,Vodka,Kirkland American,Madagascar Bourbon Cure,12-15 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),No.,"Yes, all the beans were split",No,5,5,5,5,Yes,"Smells / tastes like commercial grade, pure vanilla. Spilled on my wrist and my wrist smelled heavenly! "
12/28/2023 6:09,Vodka,Ocean,Ugandan,12-15 months,Higher than Triple Fold (More than 3 oz beans per cup of alcohol),No,Part of the beans were split,No,5,3,5,4,Yes,The sugarcane vodka make a lightly floral tasting vanilla flavor that I think pairs better with fruity desserts vs spicier deeper flavors. 
1/3/2024 11:50,Vodka,Luksusowa,Madagascar Bourbon Cure,9-12 months,Single Fold (About 1 oz beans to about 1 cup of alcohol),no,None of the beans were split,No,5,5,5,4,Yes,Tested right before Christmas 2023 and felt it was done. It was actually 3oz beans to 16oz vodka. Was great in CC cookies.
1/30/2024 20:21,Vodka,Doc’s Daughter ,Madagascar Mexican Cure,12-15 months,Higher than Triple Fold (More than 3 oz beans per cup of alcohol),No,None of the beans were split,No,4,3,5,4,Yes,
3/18/2024 18:36,White/Light/Silver Rum,Calypso ,Ugandan,3-6 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),N/A,"Yes, all the beans were split",No,4,3,3,3,Yes,
5/6/2024 8:27,Vodka,Svedka,Madagascar Mexican Cure,6-9 months,Double Fold (About 2 oz beans to about 1 cup of alcohol),100 degrees for 72 hours,"Yes, all the beans were split",No,4,3,4,5,Yes,Tested at about 6 months. Still young and needs more time. Usable but will be much better in 3 months. Will start testing monthly.
